accuracy,d_loss
0.00359375,0.007012380361557007
0.495,0.7054874140024185
0.51625,0.6984621596336364
0.52671875,0.6919956237077713
0.52953125,0.6900028032064438
0.54703125,0.6865233719348908
0.55375,0.6808355933427811
0.55078125,0.6775087928771972
0.57671875,0.667745731472969
0.58171875,0.6635481339693069
0.58625,0.6595423609018326
0.59765625,0.6478553116321564
0.6025,0.6441957777738572
0.61890625,0.6318428903818131
0.62125,0.6277256584167481
0.62859375,0.6234635215997696
0.63921875,0.6095511722564697
0.6515625,0.6078515076637268
0.64921875,0.5965610355138778
0.655625,0.5938735467195511
0.6703125,0.5805360224843025
0.67,0.5754362195730209
0.66828125,0.5801623994112015
0.68546875,0.5646040481328964
0.68,0.5644724527001381
0.67578125,0.5623454576730729
0.6859375,0.5568475714325904
0.68953125,0.5568863764405251
0.695,0.5432798826694488
0.6965625,0.5419298151135444
0.69640625,0.5355925050377845
0.71046875,0.5308292669057846
0.71109375,0.5237422156333923
0.70734375,0.5301990589499473
0.705,0.5310379564762115
0.71265625,0.5196592348814011
0.728125,0.516022435426712
0.72796875,0.5090419027209282
0.72109375,0.5238190734386444
0.7178125,0.5178902760148049
0.7340625,0.5095005229115486
0.725625,0.5177332165837288
0.73828125,0.49085782110691073
0.7490625,0.4906692311167717
0.72625,0.4972986221313477
0.73984375,0.4843918591737747
0.74234375,0.48991234838962555
0.7403125,0.4878349131345749
0.73953125,0.48229199975728987
0.74421875,0.48454652339220045
